,Time (h),ODa,gDWL,GR-Exp,GR,mu,kmeans
0,0.0,0.0,0.15427883663268177,1.453457738201985,-1.8689936862935523,3.3383291782997055,4
1,1.0,19.0,0.5158577641020097,1.472870512222307,-0.6619242024643822,1.7993068397079957,4
2,2.0,23.3,0.5976887845292785,1.4772977299736378,-0.5146850877093126,1.6050673242337221,4
3,3.0,26.0,0.6490710531696566,1.4800840188148858,-0.4322130872696427,1.4930130748736232,4
4,4.0,28.2,0.6909380868766315,1.48235798955819,-0.3697050585389545,1.4107091423643205,4
5,5.0,30.1,0.7270959796235643,1.4843245226112654,-0.31869678867222784,1.3439198472551892,4
6,6.0,31.9,0.7613508253838164,1.4861898214129359,-0.2726610215903598,1.281678974650416,4
7,7.0,33.9,0.7994117651174297,1.4882649659746323,-0.22387911537835098,1.2123619458153312,4
8,8.0,36.6,0.8507940337578082,1.4910707416763227,-0.16158520818909572,1.140033814202027,4
9,9.0,39.4,0.9040793493848669,1.4939856978581942,-0.10083814657382108,1.0715060672707997,4
10,10.0,42.5,0.9630738059719677,1.497219231518316,-0.037625228405398795,1.007781315507279,4
11,11.0,45.6,1.0220682625590687,1.5004593555410617,0.02182828266158692,0.9503685905376831,4
12,12.0,48.8,1.08296576613285,1.5038109247394327,0.079703357300265,0.8968572163249454,4
13,13.0,52.2,1.147669363679993,1.5073796894681697,0.13773324568260528,0.8449806603475469,4
14,14.0,56.0,1.2199851491738585,1.5113777430962447,0.19883868586276324,0.7951260913298897,4
15,15.0,60.0,1.2961070286410854,1.515597001811842,0.25936517834822437,0.7492099087364181,4
16,16.0,64.1,1.3741319550949929,1.519933243683697,0.3178222263759221,0.7078216134778686,4
17,17.0,68.2,1.4521568815489005,1.524281156176676,0.3730499557100191,0.6695086176687306,4
18,18.0,72.6,1.53589094896285,1.528960222386018,0.4291106354361127,0.6324613351748353,4
19,19.0,77.4,1.6272372043235226,1.534080062938426,0.4868836100647451,0.5969093107980464,4
20,20.0,82.5,1.7242926006442367,1.5395375539923741,0.5448168797917738,0.5639166684772977,4
21,21.0,87.7,1.8232510439516318,1.5451208424194127,0.6006211954593796,0.534638177580611,4
22,22.0,92.7,1.9184033932856654,1.5505073303908343,0.651493274099841,0.5082675166898114,4
23,23.0,97.9,2.017361836593061,1.5561279911150148,0.7017906363351804,0.483484499659773,4
24,24.0,103.3,2.1201263738738167,1.5619850854739779,0.7514756972251347,0.4594070943248469,4
25,25.0,109.3,2.2343091930746573,1.5685172470126645,0.8039320944160122,0.43597053858322665,4
26,26.0,115.6,2.3542011532355396,1.575403613555822,0.8562014568591508,0.4135088855562664,4
27,27.0,122.4,2.4836083483298257,1.582868355364401,0.9097124818855514,0.39163868982147126,4
28,28.0,129.8,2.6244338253441954,1.5910294519636399,0.9648651871969429,0.3716793911479274,4
29,29.0,136.8,2.7576471144118426,1.5987857171618807,1.0143778213704189,0.3535553812669812,4
30,30.0,144.3,2.900375638412893,1.607135334167803,1.0648402590912838,0.3358275127965715,4
31,31.0,152.5,3.056425491320708,1.6163110087695918,1.117246093065586,0.3192918690250283,4
32,32.0,160.5,3.208669250255162,1.625310166508511,1.1658562874031637,0.3035362587851447,4
33,33.0,169.6,3.3818465260431028,1.635603744298489,1.2184218698024385,0.2873673062943364,4
34,34.0,180.0,3.579763412657893,1.6474425448675158,1.2752967123790924,0.2717610335027764,4
35,35.0,190.6,3.7814863932460443,1.659591477644528,1.3301171580649889,0.2568303969992148,4
36,36.0,202.5,4.007948984661044,1.6733301655781212,1.3882796353235742,0.242325553300194,4
37,37.0,215.1,4.247732904982809,1.687992809610016,1.4463854064880355,0.22930945318254992,4
38,38.0,227.1,4.47609854338449,1.7020687089487159,1.4987518061556089,0.21692468683408414,4
39,39.0,241.3,4.746331215493146,1.7188666819424216,1.5573719439251168,0.204713730741317,1
40,40.0,256.0,5.026079122535204,1.736418908457599,1.6146401816427718,0.19376272993251786,1
41,41.0,270.3,5.298214841630541,1.753653666760996,1.667369941486833,0.18355000269523314,1
42,42.0,286.2,5.600799312512767,1.7730037288625888,1.7229093219328013,0.17388991257068434,1
43,43.0,302.1,5.903383783394995,1.792552273278906,1.7755257091197587,0.1647126250131216,1
44,44.0,319.9,6.242126147024154,1.8146743849741864,1.8313208530362668,0.15532737850191017,1
45,45.0,340.7,6.637959920253734,1.8408460319894364,1.8928046753545371,0.1509301276616425,1
46,46.0,339.4,6.613220309426885,1.8392000987013792,1.8890707227341414,0.14789597282497374,1
47,47.0,355.1,6.911998686335751,1.8591694917271748,1.933258841446145,0.14075899568408606,1
48,48.0,375.5,7.300220271618609,1.8854171467691183,1.9879045218934437,0.13275271843775652,1
49,49.0,400.2,7.770272877328734,1.917656308147518,2.0503052831102138,0.1253628937738669,1
50,50.0,422.1,8.187040167411801,1.9466661934689846,2.1025524366253197,0.11967153961222565,1
51,51.0,440.0,8.527685578027642,1.9706777471262606,2.143317997375556,0.11503324620423809,1
52,52.0,457.5,8.860718800696759,1.9944164321893032,2.1816278900730435,0.11091555036483634,1
53,53.0,473.9,9.172818506512389,2.016901735704979,2.2162446007122876,0.10717170665462669,1
54,54.0,490.6,9.490627353288062,2.040037805371811,2.250304717211175,0.10372230063035374,1
55,55.0,506.5,9.793211824170289,2.0622919676718854,2.281689474666098,0.1004706720993192,1
56,56.0,523.4,10.114826764919322,2.086189914551583,2.314002343920336,0.09733446044190114,1
57,57.0,540.2,10.434538658681676,2.1101979021673887,2.3451213285965533,0.09427937758454524,1
58,58.0,558.4,10.780893210257558,2.136491924253031,2.3777754201427017,0.09124297785080467,3
59,59.0,577.3,11.140569090740204,2.164114197702705,2.4105933185390485,0.08855726233111182,3
60,60.0,593.3,11.445056608609113,2.187752749756507,2.4375578995355145,0.08615485584305527,3
61,61.0,610.4,11.770477643331507,2.213276744124776,2.4655945018703203,0.08378523477121488,3
62,62.0,627.8,12.101607819013944,2.239526864831595,2.493338321379707,0.08166781429258531,3
63,63.0,642.9,12.388967914002727,2.2625365157235766,2.5168063922523505,0.07998206392200993,3
64,64.0,654.9,12.617333552404407,2.280975418011127,2.5350715473405843,0.07846575907956595,3
65,65.0,668.3,12.872341848619616,2.301726789227718,2.5550809668746974,0.0770217127231662,3
66,66.0,680.0,13.094998346061256,2.319985488651263,2.572230351656594,0.07585358781565914,3
67,67.0,689.3,13.271981715822559,2.3345924029782514,2.585655175236694,0.07470580923916821,3
68,68.0,701.3,13.500347354224239,2.3535631580591225,2.602715415055911,0.07354982836681342,3
69,69.0,711.4,13.692555099878987,2.3696382623561263,2.6168522617595897,0.07263436071612467,3
70,70.0,719.3,13.842895811826759,2.3822810186368906,2.627772163261523,0.07180086012108096,3
71,71.0,728.2,14.012266993641342,2.396597148757849,2.6399331597955342,0.07084771060897335,3
72,72.0,739.0,14.217796068202853,2.4140738879204395,2.6544944241917983,0.06989559680212377,3
73,73.0,748.4,14.396682484950835,2.429378677316391,2.666997797050192,0.06898732800603787,3
74,74.0,758.8,14.594599371565625,2.446413570471338,2.68065155422502,0.06792240959886306,3
75,75.0,772.3,14.851510714767516,2.4686867065007148,2.698101591708573,0.06671533197291381,3
76,76.0,786.8,15.127452527836214,2.4928128937270646,2.716511141372659,0.06562729335338457,3
77,77.0,798.4,15.348205978291173,2.5122662754417115,2.7309985928244385,0.06465444143784972,3
78,78.0,810.9,15.586086851626257,2.53338152634159,2.7463786478186663,0.06367509594801818,3
79,79.0,823.4,15.82396772496134,2.5546558982428524,2.761525735252476,0.06267660018418296,3
80,80.0,837.2,16.086588209123274,2.5783286787380075,2.77798589433847,0.06181324503955123,3
81,81.0,846.8,16.269280719844616,2.594912358041453,2.7892787112705792,0.06099583853193061,3
82,82.0,860.0,16.52048292208647,2.61787070524161,2.8046010002373887,0.06022961498960445,3
83,83.0,868.7,16.68604800992769,2.6331014238897437,2.8145729217337854,0.05949372358301195,3
84,84.0,881.6,16.931541071209494,2.6558305386707484,2.8291782180632326,0.05877774882794132,0
85,85.0,890.2,17.09520311206403,2.6710803456839844,2.8387979043932487,0.058086298625379486,0
86,86.0,902.9,17.336890079372477,2.6937431149560025,2.8528366057501895,0.057447466994458365,0
87,87.0,910.3,17.477715556386844,2.707026982635042,2.860926672692951,0.05704198447190912,0
88,88.0,915.9,17.584286187640963,2.7171183437846027,2.86700567298611,0.05670342647175137,0
89,89.0,921.3,17.68705072492172,2.7268809620728294,2.872832774369713,0.0563628536560088,0
90,90.0,927.1,17.7974274501492,2.737401446275798,2.879053921580739,0.05595190511426976,0
91,91.0,935.0,17.94776816209697,2.751789055999496,2.8874657708304525,0.05565529371268545,0
92,92.0,937.1,17.987732148817265,2.755624886338249,2.8896899782493004,0.05547029584754174,0
93,93.0,941.3,18.067660122257852,2.7633107829039782,2.894123606582544,0.05516757250564533,0
94,94.0,947.5,18.185649035432057,2.774691382143504,2.9006327685049444,0.05477944599639789,0
95,95.0,954.8,18.324571465459744,2.788144365411873,2.9082428622583345,0.05431808163651829,0
96,96.0,963.8,18.495845694261003,2.8048097437360666,2.917546149800593,0.05403562212529362,0
97,97.0,964.9,18.516779211114493,2.8068526592363363,2.9186773054070416,0.05372944281629802,0
98,98.0,974.9,18.70708390978256,2.8254850907361897,2.9289022708318004,0.05329320733526934,0
99,99.0,980.9,18.8212667289834,2.836716973192789,2.9349874394895963,0.053093816741572715,0
100,100.0,982.3,18.84790938679693,2.8393434166492324,2.936401999881056,0.05284579855258591,0
101,101.0,990.2,18.998250098744705,2.8542043622115765,2.944346874858901,0.05235894306626315,0
102,102.0,1000.8,19.199973079332853,2.8742522232527605,2.9549088769146725,0.05193683091590946,0
103,103.0,1006.5,19.308446757573652,2.8850839467676215,2.9605426560002917,0.051577591151822415,0
104,104.0,1014.9,19.46830270445483,2.901112062887223,2.9687876406717164,0.05111859675033492,0
